galaxy,model,chi2,dof,chi2_red,Yd,Yb,n_data,has_bulge
UGC06667,MOND_standard,13.5550,8,1.6944,3.7194,0.0000,9,False
UGC06786,MOND_standard,51.2731,43,1.1924,1.3204,0.7186,45,True
UGC06787,MOND_standard,115.9420,69,1.6803,1.8664,0.5572,71,True
UGC06818,MOND_standard,20.4765,7,2.9252,0.2060,0.0000,8,False
UGC06917,MOND_standard,7.8582,10,0.7858,0.7627,0.0000,11,False
UGC06923,MOND_standard,4.0816,5,0.8163,0.4828,0.0000,6,False
UGC06930,MOND_standard,14.0157,9,1.5573,0.5245,0.0000,10,False
UGC06973,MOND_standard,80.3744,7,11.4821,0.4168,0.0100,9,True
UGC06983,MOND_standard,15.3276,16,0.9580,1.0125,0.0000,17,False
UGC07089,MOND_standard,1.6309,11,0.1483,0.1810,0.0000,12,False
UGC07125,MOND_standard,451.2614,12,37.6051,0.0100,0.0000,13,False
UGC07151,MOND_standard,20.2750,10,2.0275,0.5635,0.0000,11,False
UGC07261,MOND_standard,3.8930,6,0.6488,0.6585,0.0000,7,False
UGC07323,MOND_standard,4.0118,9,0.4458,0.3726,0.0000,10,False
UGC07399,MOND_standard,37.1627,9,4.1292,2.9465,0.0000,10,False
UGC07524,MOND_standard,58.8943,30,1.9631,0.4691,0.0000,31,False
UGC07559,MOND_standard,9.3452,6,1.5575,0.0100,0.0000,7,False
UGC07577,MOND_standard,47.7334,8,5.9667,0.0100,0.0000,9,False
UGC07603,MOND_standard,32.1082,11,2.9189,1.1196,0.0000,12,False
UGC07608,MOND_standard,4.0908,7,0.5844,1.8980,0.0000,8,False
UGC07690,MOND_standard,10.2783,6,1.7130,0.5647,0.0000,7,False
UGC07866,MOND_standard,4.2915,6,0.7152,0.0867,0.0000,7,False
UGC08286,MOND_standard,19.5577,16,1.2224,1.4807,0.0000,17,False
UGC08490,MOND_standard,7.9491,29,0.2741,1.4060,0.0000,30,False
UGC08550,MOND_standard,6.2207,10,0.6221,0.9056,0.0000,11,False
UGC08699,MOND_standard,9.2617,39,0.2375,1.1168,0.5692,41,True
UGC08837,MOND_standard,26.3410,7,3.7630,0.0367,0.0000,8,False
UGC09037,MOND_standard,28.3338,21,1.3492,0.2314,0.0000,22,False
UGC09133,MOND_standard,128.1837,66,1.9422,0.6445,0.7195,68,True
UGC09992,MOND_standard,11.1220,4,2.7805,0.0107,0.0000,5,False
UGC10310,MOND_standard,10.5848,6,1.7641,0.5109,0.0000,7,False
UGC11455,MOND_standard,132.5588,35,3.7874,0.5602,0.0000,36,False
UGC11557,MOND_standard,12.4172,11,1.1288,0.1010,0.0000,12,False
UGC11820,MOND_standard,30.1180,9,3.3464,0.4319,0.0000,10,False
UGC11914,MOND_standard,21.9293,63,0.3481,0.8538,0.9127,65,True
UGC12506,MOND_standard,78.0767,30,2.6026,1.2297,0.0000,31,False
UGC12632,MOND_standard,49.3757,14,3.5268,0.5545,0.0000,15,False
UGC12732,MOND_standard,18.4137,15,1.2276,0.7935,0.0000,16,False
UGCA281,MOND_standard,0.6107,6,0.1018,0.3533,0.0000,7,False
UGCA442,MOND_standard,9.1795,7,1.3114,0.2862,0.0000,8,False
UGCA444,MOND_standard,37.9771,35,1.0851,0.0144,0.0000,36,False
