galaxy,model,chi2,dof,chi2_red,Yd,Yb,n_data,has_bulge
ESO444-G084,MOND_simple,21.6226,6,3.6038,2.1538,0.0000,7,False
ESO563-G021,MOND_simple,260.2941,29,8.9757,0.6732,0.0000,30,False
F561-1,MOND_simple,51.3497,5,10.2699,0.0100,0.0000,6,False
F563-1,MOND_simple,16.3706,16,1.0232,1.6119,0.0000,17,False
F563-V1,MOND_simple,103.1067,5,20.6213,0.0100,0.0000,6,False
F563-V2,MOND_simple,3.1531,9,0.3503,2.0375,0.0000,10,False
F565-V2,MOND_simple,2.2026,6,0.3671,1.1683,0.0000,7,False
F567-2,MOND_simple,15.1879,4,3.7970,0.2685,0.0000,5,False
F568-1,MOND_simple,8.3229,11,0.7566,1.8609,0.0000,12,False
F568-3,MOND_simple,43.6439,17,2.5673,0.4184,0.0000,18,False
F568-V1,MOND_simple,4.0793,14,0.2914,1.9618,0.0000,15,False
F571-8,MOND_simple,316.9828,12,26.4152,0.3197,0.0000,13,False
F571-V1,MOND_simple,1.5993,6,0.2666,0.2517,0.0000,7,False
F574-1,MOND_simple,26.3037,13,2.0234,0.6772,0.0000,14,False
F574-2,MOND_simple,47.7451,4,11.9363,0.0100,0.0000,5,False
F579-V1,MOND_simple,32.1617,13,2.4740,0.7855,0.0000,14,False
F583-1,MOND_simple,46.3228,24,1.9301,0.8921,0.0000,25,False
F583-4,MOND_simple,1.2639,11,0.1149,0.3365,0.0000,12,False
IC2574,MOND_simple,35.5019,33,1.0758,0.0222,0.0000,34,False
IC4202,MOND_simple,235.4373,30,7.8479,0.8145,0.0895,32,True
KK98-251,MOND_simple,278.9705,14,19.9265,0.0100,0.0000,15,False
NGC0024,MOND_simple,11.9607,28,0.4272,1.2045,0.0000,29,False
NGC0055,MOND_simple,33.5796,20,1.6790,0.0100,0.0000,21,False
NGC0100,MOND_simple,26.3552,20,1.3178,0.3968,0.0000,21,False
NGC0247,MOND_simple,32.2325,25,1.2893,0.4932,0.0000,26,False
NGC0289,MOND_simple,99.2029,27,3.6742,0.3087,0.0000,28,False
NGC0300,MOND_simple,18.1843,24,0.7577,0.5795,0.0000,25,False
NGC0801,MOND_simple,88.3474,12,7.3623,0.3631,0.0000,13,False
NGC0891,MOND_simple,36.5128,16,2.2820,0.3427,0.5675,18,True
NGC1003,MOND_simple,33.5826,35,0.9595,0.3185,0.0000,36,False
NGC1090,MOND_simple,49.4358,23,2.1494,0.3477,0.0000,24,False
NGC1705,MOND_simple,4.1072,13,0.3159,1.6102,0.0000,14,False
NGC2366,MOND_simple,124.6908,25,4.9876,0.0287,0.0000,26,False
NGC2403,MOND_simple,70.8278,72,0.9837,0.5419,0.0000,73,False
NGC2683,MOND_simple,14.9196,9,1.6577,0.3836,1.4189,11,True
NGC2841,MOND_simple,16.8983,48,0.3520,1.0760,0.8466,50,True
NGC2903,MOND_simple,250.1897,33,7.5815,0.4064,0.0000,34,False
NGC2915,MOND_simple,89.2165,29,3.0764,1.8091,0.0000,30,False
NGC2955,MOND_simple,28.7881,22,1.3085,0.2923,0.7445,24,True
NGC2976,MOND_simple,30.1613,26,1.1600,0.3611,0.0000,27,False
NGC2998,MOND_simple,41.6375,12,3.4698,0.4868,0.0000,13,False
NGC3109,MOND_simple,71.3817,24,2.9742,0.6497,0.0000,25,False
NGC3198,MOND_simple,45.6775,42,1.0876,0.4419,0.0000,43,False
NGC3521,MOND_simple,14.8237,40,0.3706,0.5036,0.0000,41,False
NGC3726,MOND_simple,14.7244,11,1.3386,0.2704,0.0000,12,False
NGC3741,MOND_simple,22.8736,20,1.1437,0.2966,0.0000,21,False
NGC3769,MOND_simple,6.8090,11,0.6190,0.3039,0.0000,12,False
NGC3877,MOND_simple,64.6598,12,5.3883,0.3814,0.0000,13,False
NGC3893,MOND_simple,6.8092,9,0.7566,0.4882,0.0000,10,False
NGC3917,MOND_simple,37.6465,16,2.3529,0.4991,0.0000,17,False
NGC3949,MOND_simple,1.7173,6,0.2862,0.4025,0.0000,7,False
NGC3953,MOND_simple,7.4615,7,1.0659,0.4916,0.0000,8,False
NGC3972,MOND_simple,10.9553,9,1.2173,0.5630,0.0000,10,False
NGC3992,MOND_simple,8.2590,8,1.0324,0.6056,0.0000,9,False
NGC4010,MOND_simple,19.6415,11,1.7856,0.3573,0.0000,12,False
NGC4013,MOND_simple,21.7366,34,0.6393,0.1155,1.8288,36,True
NGC4051,MOND_simple,10.4660,6,1.7443,0.3162,0.0000,7,False
NGC4068,MOND_simple,6.1794,5,1.2359,0.0100,0.0000,6,False
NGC4085,MOND_simple,23.9466,6,3.9911,0.3048,0.0000,7,False
NGC4088,MOND_simple,7.6550,11,0.6959,0.2279,0.0000,12,False
NGC4100,MOND_simple,26.7400,23,1.1626,0.5441,0.0000,24,False
NGC4138,MOND_simple,4.7210,5,0.9442,0.6724,0.0100,7,True
NGC4157,MOND_simple,5.4397,15,0.3626,0.3432,0.0100,17,True
NGC4183,MOND_simple,54.1741,22,2.4625,0.3795,0.0000,23,False
NGC4214,MOND_simple,17.2132,13,1.3241,0.9828,0.0000,14,False
NGC4217,MOND_simple,21.2761,17,1.2515,1.4435,0.1165,19,True
NGC4389,MOND_simple,18.1393,5,3.6279,0.0959,0.0000,6,False
NGC4559,MOND_simple,47.4668,31,1.5312,0.2507,0.0000,32,False
NGC5005,MOND_simple,0.9576,16,0.0598,0.5169,0.4681,18,True
NGC5033,MOND_simple,18.0728,20,0.9036,0.6037,0.3654,22,True
NGC5055,MOND_simple,25.5288,27,0.9455,0.3185,0.0000,28,False
NGC5371,MOND_simple,166.0210,18,9.2234,0.3267,0.0000,19,False
NGC5585,MOND_simple,62.3330,23,2.7101,0.2577,0.0000,24,False
NGC5907,MOND_simple,54.7678,18,3.0427,0.4756,0.0000,19,False
NGC5985,MOND_simple,40.3084,31,1.3003,0.9130,3.3242,33,True
NGC6015,MOND_simple,88.1592,43,2.0502,0.6044,0.0000,44,False
NGC6195,MOND_simple,9.3712,21,0.4462,0.2030,0.6199,23,True
NGC6503,MOND_simple,11.4383,30,0.3813,0.4667,0.0000,31,False
NGC6674,MOND_simple,12.1329,13,0.9333,0.3863,3.7258,15,True
NGC6946,MOND_simple,21.2040,56,0.3786,0.3761,0.4829,58,True
NGC7331,MOND_simple,7.3069,34,0.2149,0.3907,0.0100,36,True
NGC7793,MOND_simple,36.6882,45,0.8153,0.4500,0.0000,46,False
NGC7814,MOND_simple,6.1496,16,0.3843,1.4558,0.5065,18,True
PGC51017,MOND_simple,348.1172,5,69.6234,0.0100,0.0000,6,False
UGC00128,MOND_simple,81.1073,21,3.8623,0.5803,0.0000,22,False
UGC00191,MOND_simple,26.0013,8,3.2502,0.5798,0.0000,9,False
UGC00731,MOND_simple,107.7651,11,9.7968,1.6056,0.0000,12,False
UGC00891,MOND_simple,4.7706,4,1.1926,0.0100,0.0000,5,False
UGC01230,MOND_simple,40.3778,10,4.0378,0.5481,0.0000,11,False
UGC01281,MOND_simple,11.2296,24,0.4679,0.3652,0.0000,25,False
UGC02023,MOND_simple,0.9354,4,0.2339,0.0640,0.0000,5,False
UGC02259,MOND_simple,18.9108,7,2.7015,1.1673,0.0000,8,False
UGC02455,MOND_simple,25.3959,7,3.6280,0.0100,0.0000,8,False
UGC02487,MOND_simple,2.8328,15,0.1889,0.8878,1.2131,17,True
UGC02885,MOND_simple,7.0841,17,0.4167,0.4841,0.9596,19,True
UGC02916,MOND_simple,89.5363,41,2.1838,0.3643,0.5143,43,True
UGC02953,MOND_simple,128.4208,113,1.1365,0.6665,0.6356,115,True
UGC03205,MOND_simple,67.2815,46,1.4626,0.6025,0.8820,48,True
UGC03546,MOND_simple,3.8270,28,0.1367,0.4853,0.4260,30,True
UGC03580,MOND_simple,40.5253,45,0.9006,0.3521,0.0812,47,True
UGC04278,MOND_simple,57.7671,24,2.4070,0.6725,0.0000,25,False
UGC04305,MOND_simple,744.3079,21,35.4432,0.0100,0.0000,22,False
UGC04325,MOND_simple,26.9341,7,3.8477,1.2386,0.0000,8,False
UGC04483,MOND_simple,21.3151,7,3.0450,0.0100,0.0000,8,False
UGC04499,MOND_simple,16.7525,8,2.0941,0.2332,0.0000,9,False
UGC05005,MOND_simple,5.4578,10,0.5458,0.1054,0.0000,11,False
UGC05253,MOND_simple,44.5615,71,0.6276,0.4938,0.6661,73,True
UGC05414,MOND_simple,0.2981,5,0.0596,0.1508,0.0000,6,False
UGC05716,MOND_simple,27.6122,11,2.5102,0.6069,0.0000,12,False
